,Hotel,Price,Location,Url
0,Garden Village Guesthouse & Pool Bar,"36,475","Sok San Road, Siem Reap | 1 km from centre",https://www.booking.com/hotel/kh/garden-village-guesthouse.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=197810003_262120910_2_2_0&highlighted_blocks=197810003_262120910_2_2_0&matching_block_id=197810003_262120910_2_2_0&sr_pri_blocks=197810003_262120910_2_2_0__900&tpi_r=2&from_sustainable_property_sr=1
1,The Twizt - Lifestyle Hostel,"64,763","Old French Quarter, Siem Reap | 200 m from centre",https://www.booking.com/hotel/kh/the-twizt-lifestyle-hostel-siem-reap12.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=585252606_228995723_0_0_0&highlighted_blocks=585252606_228995723_0_0_0&matching_block_id=585252606_228995723_0_0_0&sr_pri_blocks=585252606_228995723_0_0_0__1598&tpi_r=2
2,Five Rose Siem Reap Hostel,"40,122","Wat Bo Area, Siem Reap | 0.6 km from centre",https://www.booking.com/hotel/kh/european-guesthouse.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=38198417_367177534_2_0_0&highlighted_blocks=38198417_367177534_2_0_0&matching_block_id=38198417_367177534_2_0_0&sr_pri_blocks=38198417_367177534_2_0_0__990&tpi_r=2
3,Two Seasons Siem Reap Hotel,"275,871",Siem Reap | 0.5 km from centre,https://www.booking.com/hotel/kh/two-seasons-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=870587402_0_2_1_0&highlighted_blocks=870587402_0_2_1_0&matching_block_id=870587402_0_2_1_0&sr_pri_blocks=870587402_0_2_1_0__6807&tpi_r=1&from_sustainable_property_sr=1
4,Onederz Siem Reap,"118,746",Siem Reap | 0.7 km from centre,https://www.booking.com/hotel/kh/one-stop-hostel-siem-reap-angkor-night-market.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=159588707_88777196_2_42_0&highlighted_blocks=159588707_88777196_2_42_0&matching_block_id=159588707_88777196_2_42_0&sr_pri_blocks=159588707_88777196_2_42_0__2930&tpi_r=2&from_sustainable_property_sr=1
5,Khmer House Boutique,"168,716","Wat Bo Area, Siem Reap | 0.9 km from centre",https://www.booking.com/hotel/kh/khmer-house-boutique-krong-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=909823901_362163079_2_1_0&highlighted_blocks=909823901_362163079_2_1_0&matching_block_id=909823901_362163079_2_1_0&sr_pri_blocks=909823901_362163079_2_1_0__4163&tpi_r=2&from_sustainable_property_sr=1
6,Blossoming Romduol Boutique,"71,369",Siem Reap | 1.1 km from centre,https://www.booking.com/hotel/kh/blossoming-romduol-lodge.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=112900705_0_2_1_0&highlighted_blocks=112900705_0_2_1_0&matching_block_id=112900705_0_2_1_0&sr_pri_blocks=112900705_0_2_1_0__1761&tpi_r=1&from_sustainable_property_sr=1
7,Royal Crown Hotel & Spa,"183,833",Siem Reap | 0.8 km from centre,https://www.booking.com/hotel/kh/royal-crown-amp-spa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=42996208_0_2_1_0&highlighted_blocks=42996208_0_2_1_0&matching_block_id=42996208_0_2_1_0&sr_pri_blocks=42996208_0_2_1_0__4536&tpi_r=1&from_sustainable_property_sr=1
8,Rithy Rine Angkor Residence,"188,656",Siem Reap | 0.8 km from centre,https://www.booking.com/hotel/kh/rithy-rine-angkor-residence.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=166886105_119809028_0_0_0&highlighted_blocks=166886105_119809028_0_0_0&matching_block_id=166886105_119809028_0_0_0&sr_pri_blocks=166886105_119809028_0_0_0__4655&tpi_r=2&from_sustainable_property_sr=1
9,Ravoeun Angkor Boutique,"54,712",Siem Reap | 1.7 km from centre,https://www.booking.com/hotel/kh/ravoeun-angkor-boutique-krong-siem-reap12.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=777735105_336111563_2_0_0&highlighted_blocks=777735105_336111563_2_0_0&matching_block_id=777735105_336111563_2_0_0&sr_pri_blocks=777735105_336111563_2_0_0__1350&tpi_r=2
