,Hotel,Price,Location,Url
0,Two Seasons Siem Reap Hotel,"304,849",Siem Reap | 0.5 km from centre,https://www.booking.com/hotel/kh/two-seasons-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=870587402_0_2_1_0&highlighted_blocks=870587402_0_2_1_0&matching_block_id=870587402_0_2_1_0&sr_pri_blocks=870587402_0_2_1_0__7522&tpi_r=1&from_sustainable_property_sr=1
1,Prince d'Angkor Hotel & Spa,"346,511","Old French Quarter, Siem Reap | 150 m from centre",https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=23760810_279475966_0_1_0&highlighted_blocks=23760810_279475966_0_1_0&matching_block_id=23760810_279475966_0_1_0&sr_pri_blocks=23760810_279475966_0_1_0__8550&tpi_r=2
2,Royal Crown Hotel & Spa,"183,833",Siem Reap | 0.8 km from centre,https://www.booking.com/hotel/kh/royal-crown-amp-spa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=42996208_0_2_1_0&highlighted_blocks=42996208_0_2_1_0&matching_block_id=42996208_0_2_1_0&sr_pri_blocks=42996208_0_2_1_0__4536&tpi_r=1&from_sustainable_property_sr=1
3,Five Rose Siem Reap Hostel,"60,305","Wat Bo Area, Siem Reap | 0.6 km from centre",https://www.booking.com/hotel/kh/european-guesthouse.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=38198404_367177534_0_0_0&highlighted_blocks=38198404_367177534_0_0_0&matching_block_id=38198404_367177534_0_0_0&sr_pri_blocks=38198404_367177534_0_0_0__1488&tpi_r=2
4,Chamraoen’s Home,"64,844",Siem Reap | 1.1 km from centre,https://www.booking.com/hotel/kh/chamraoens-home.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=260091903_114878507_2_0_0&highlighted_blocks=260091903_114878507_2_0_0&matching_block_id=260091903_114878507_2_0_0&sr_pri_blocks=260091903_114878507_2_0_0__1600&tpi_r=2
5,Anansaya La Maison,"401,223",Siem Reap | 2.3 km from centre,https://www.booking.com/hotel/kh/jaya-house-angkor-park.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=609984301_366280971_2_41_0&highlighted_blocks=609984301_366280971_2_41_0&matching_block_id=609984301_366280971_2_41_0&sr_pri_blocks=609984301_366280971_2_41_0__9900&tpi_r=2&from_sustainable_property_sr=1
6,Smart Angkor Boutique,"65,655",Siem Reap | 1 km from centre,https://www.booking.com/hotel/kh/smart-angkor-boutique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=665505411_272805537_2_2_0&highlighted_blocks=665505411_272805537_2_2_0&matching_block_id=665505411_272805537_2_2_0&sr_pri_blocks=665505411_272805537_2_2_0__1620&tpi_r=2
7,The Twizt - Lifestyle Hostel,"66,911","Old French Quarter, Siem Reap | 200 m from centre",https://www.booking.com/hotel/kh/the-twizt-lifestyle-hostel-siem-reap12.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__1651&tpi_r=1
8,Jaya House River Park,"972,662",Siem Reap | 1.4 km from centre,https://www.booking.com/hotel/kh/jaya-house-river-park-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=202190304_352036619_0_41_0&highlighted_blocks=202190304_352036619_0_41_0&matching_block_id=202190304_352036619_0_41_0&sr_pri_blocks=202190304_352036619_0_41_0__24000&tpi_r=2&from_sustainable_property_sr=1
9,DEN HOTEL TOTONOU SIEM REAP,"81,055","Taphul Village Area, Siem Reap | 500 m from centre",https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=897757106_360435435_2_0_0&highlighted_blocks=897757106_360435435_2_0_0&matching_block_id=897757106_360435435_2_0_0&sr_pri_blocks=897757106_360435435_2_0_0__2000&tpi_r=2&from_sustainable_property_sr=1
10,The Siem Reap Chilled Backpacker,"60,629","Wat Bo Area, Siem Reap | 0.6 km from centre",https://www.booking.com/hotel/kh/motherhome-guesthouse.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=26764016_265067731_0_42_0&highlighted_blocks=26764016_265067731_0_42_0&matching_block_id=26764016_265067731_0_42_0&sr_pri_blocks=26764016_265067731_0_42_0__1496&tpi_r=2&from_sustainable_property_sr=1
11,Panhanita Apartment and Villa,"76,597",Siem Reap | 2 km from centre,https://www.booking.com/hotel/kh/anitaapartments.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=409662802_183110414_2_0_0&highlighted_blocks=409662802_183110414_2_0_0&matching_block_id=409662802_183110414_2_0_0&sr_pri_blocks=409662802_183110414_2_0_0__1890&tpi_r=2&from_sustainable_property_sr=1
12,Ravoeun Angkor Boutique,"91,187",Siem Reap | 1.7 km from centre,https://www.booking.com/hotel/kh/ravoeun-angkor-boutique-krong-siem-reap12.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=777735108_336111563_2_0_0&highlighted_blocks=777735108_336111563_2_0_0&matching_block_id=777735108_336111563_2_0_0&sr_pri_blocks=777735108_336111563_2_0_0__2250&tpi_r=2
13,Heritage Suites Hotel,"435,226",Siem Reap | 0.9 km from centre,https://www.booking.com/hotel/kh/heritage-suites-relais-amp-chateaux.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=47414801_0_2_1_0&highlighted_blocks=47414801_0_2_1_0&matching_block_id=47414801_0_2_1_0&sr_pri_blocks=47414801_0_2_1_0__10739&tpi_r=1&from_sustainable_property_sr=1
14,Angkor Paradise Hotel,"310,036","National Road 6, Siem Reap | 0.7 km from centre",https://www.booking.com/hotel/kh/angkor.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c14376275c5704ce&srepoch=1680022097&all_sr_blocks=3680113_369203383_2_1_0&highlighted_blocks=3680113_369203383_2_1_0&matching_block_id=3680113_369203383_2_1_0&sr_pri_blocks=3680113_369203383_2_1_0__7650&tpi_r=2&from_sustainable_property_sr=1
